year,month,day,maxtemp,mintemp,rain,hum0830,hum1730
2008,2,14,32.3,23.1,0.0,84,38
2008,2,15,32.8,22.2,0.0,81,44
2008,2,16,32.7,23.4,0.0,81,44
2008,2,17,32.4,22.9,0.0,81,50
2008,2,18,32.4,20.0,0.0,77,23
2008,2,19,33.1,19.0,0.0,79,34
2008,2,20,31.7,19.6,0.0,72,35
2008,2,21,31.8,21.6,0.0,88,38
2008,2,22,33.7,21.9,0.0,85,38
2008,2,23,32.9,22.1,0.0,75,30
2008,2,24,32.7,20.4,0.0,68,36
2008,2,25,33.2,19.7,0.0,78,34
2008,2,26,32.8,19.6,0.0,75,30
2008,2,27,33.0,20.5,0.0,82,30
2008,2,28,33.3,21.6,0.0,71,29
2008,2,29,33.6,21.1,0.0,66,43
2008,3,1,32.4,23.1,0.6,80,67
2008,3,2,30.7,24.1,0.7,77,35
2008,3,3,34.2,22.3,0.0,82,23
2008,3,4,33.9,19.4,0.0,62,27
2008,3,5,33.0,19.4,0.0,65,34
2008,3,6,33.6,22.9,0.0,74,19
2008,3,7,34.8,21.4,0.0,82,26
2008,3,8,33.7,19.0,0.0,69,21
2008,3,9,34.0,20.5,0.0,57,26
2008,3,10,34.0,22.4,0.0,59,33
2008,3,11,33.8,23.4,0.9,88,84
2008,3,12,31.7,22.7,1.6,91,73
2008,3,13,27.0,22.6,0.0,8,65
2008,3,14,33.0,23.8,Trace,86,71
2008,3,15,32.5,24.5,Trace,75,95
2008,3,16,31.2,23.0,6.4,95,77
2008,3,17,31.8,24.0,0.1,84,76
2008,3,18,32.7,23.7,0.3,81,90
2008,3,19,31.4,23.6,1.6,87,67
2008,3,20,31.1,22.9,10.2,93,84
2008,3,21,30.8,23.5,26.6,95,81
2008,3,22,27.0,22.0,36.9,98,87
2008,3,23,26.8,24.4,1.8,87,77
2008,3,24,29.8,24.5,Trace,81,51
2008,3,25,33.2,24.6,0.0,77,45
2008,3,26,34.9,24.6,0.0,69,53
2008,3,27,34.7,25.6,0.0,83,45
2008,3,28,34.8,25.5,0.0,83,62
2008,3,29,35.7,25.2,0.0,83,56
2008,3,30,33.6,25.4,0.0,79,45
2008,3,31,34.8,22.0,47.2,78,39
2008,4,1,35.6,25.7,1.9,83,51
2008,4,2,34.2,26.0,0.0,74,63
2008,4,3,35.1,25.2,0.0,80,49
2008,4,4,34.7,25.8,0.0,78,50
2008,4,5,34.5,25.8,0.0,78,42
2008,4,6,34.8,24.6,0.0,78,45
2008,4,7,34.6,24.4,0.0,81,42
2008,4,8,34.8,24.9,0.0,75,96
2008,4,9,34.2,24.5,9.5,83,42
2008,4,10,34.4,24.6,0.0,74,42
2008,4,11,34.6,25.0,0.0,80,61
2008,4,12,34.8,25.6,0.0,83,39
2008,4,13,35.0,25.4,0.0,74,50
2008,4,14,35.4,26.0,0.0,71,53
2008,4,15,35.6,25.8,0.0,74,48
2008,4,16,35.8,25.7,0.0,75,37
2008,4,17,35.7,26.0,0.0,74,36
2008,4,18,36.0,26.2,0.0,70,39
2008,4,19,36.1,26.8,0.0,67,41
2008,4,20,36.6,27.2,0.0,74,39
2008,4,21,38.4,26.3,0.0,71,33
2008,4,22,39.0,26.2,0.0,66,28
2008,4,23,38.8,26.6,0.0,69,28
2008,4,24,39.1,27.0,0.0,69,24
2008,4,25,38.2,26.4,0.0,76,40
2008,4,26,36.8,26.2,0.0,71,66
2008,4,27,36.2,26.2,0.0,71,40
2008,4,28,37.2,27.7,0.0,70,42
2008,4,29,37.3,28.4,0.0,63,38
2008,4,30,38.2,26.5,0.0,63,32
2008,5,1,39.7,27.7,0.0,58,31
2008,5,2,40.0,26.6,0.0,47,21
2008,5,3,40.7,27.2,0.0,59,38
2008,5,4,39.8,25.8,1.1,71,44
2008,5,5,39.6,27.0,0.0,69,28
2008,5,6,39.5,27.0,0.0,57,27
2008,5,7,39.8,27.3,0.0,63,31
2008,5,8,39.7,21.8,53.8,70,40
2008,5,9,36.2,26.3,0.0,72,35
2008,5,10,38.0,25.6,0.0,69,37
2008,5,11,37.7,23.2,2.8,67,47
2008,5,12,34.1,25.3,0.0,71,32
2008,5,13,37.4,25.0,0.0,58,43
2008,5,14,37.9,26.1,0.0,67,41
2008,5,15,38.6,26.2,0.0,61,38
2008,5,16,37.4,27.2,0.0,61,35
2008,5,17,38.5,27.5,0.0,59,35
2008,5,18,38.6,28.2,0.0,58,37
2008,5,19,38.2,27.6,0.0,60,36
2008,5,20,39.2,27.0,0.0,56,37
2008,5,21,39.0,27.4,0.0,62,39
2008,5,22,39.1,26.9,Trace,71,43
2008,5,23,38.4,25.6,0.0,71,42
2008,5,24,37.2,27.0,0.0,65,39
2008,5,25,37.7,27.9,0.0,72,60
2008,5,26,35.4,25.3,0.1,68,43
2008,5,27,37.4,23.9,0.6,77,44
2008,5,28,36.6,26.5,0.0,71,39
2008,5,29,37.8,25.8,3.0,69,47
2008,5,30,37.4,26.3,0.0,65,41
2008,5,31,37.8,25.7,12.3,67,40
2008,6,1,36.7,25.6,0.0,71,45
2008,6,2,37.3,25.0,1.2,67,42
2008,6,3,36.7,26.8,0.0,65,38
2008,6,4,38.0,26.1,Trace,62,35
2008,6,5,38.6,26.3,0.0,59,32
2008,6,6,37.8,26.7,0.0,56,40
2008,6,7,37.3,27.2,0.0,63,40
2008,6,8,39.1,24.2,6.2,65,40
2008,6,9,36.9,26.5,0.0,67,50
2008,6,10,35.1,27.1,0.0,65,50
2008,6,11,35.1,26.7,0.0,65,36
2008,6,12,37.9,27.5,0.0,68,45
2008,6,13,36.5,26.9,0.0,59,40
2008,6,14,36.9,28.0,0.0,52,33
2008,6,15,38.6,26.1,0.0,57,33
2008,6,16,37.6,25.8,0.0,61,42
2008,6,17,36.5,26.7,0.0,61,45
2008,6,18,36.6,26.5,0.0,63,39
2008,6,19,37.6,27.6,0.0,59,34
2008,6,20,38.4,26.0,0.0,65,37
2008,6,21,38.4,26.6,0.0,66,45
2008,6,22,38.6,23.0,1.9,59,50
2008,6,23,38.2,25.7,0.5,59,37
2008,6,24,37.2,27.0,0.0,62,34
2008,6,25,37.5,27.3,0.0,59,39
2008,6,26,38.6,26.6,0.0,59,40
2008,6,27,37.1,26.2,0.0,64,39
2008,6,28,38.2,27.1,0.0,65,46
2008,6,29,36.4,26.4,0.0,64,46
2008,6,30,35.6,27.2,0.0,59,43
2008,7,1,37.3,26.3,0.0,63,50
2008,7,2,36.3,26.0,0.0,62,39
2008,7,3,37.5,26.9,0.0,64,36
2008,7,4,38.7,27.4,0.0,65,44
2008,7,5,38.4,26.6,0.0,65,37
2008,7,6,38.9,26.8,0.0,59,52
2008,7,7,38.9,27.5,0.0,62,38
2008,7,8,38.6,27.6,0.0,63,39
2008,7,9,37.6,27.3,0.0,67,45
2008,7,10,37.1,27.7,0.0,71,48
2008,7,11,36.8,26.6,0.0,69,39
2008,7,12,38.0,26.8,0.0,69,41
2008,7,13,37.9,26.6,0.0,71,41
2008,7,14,38.7,25.3,0.0,73,43
2008,7,15,37.5,26.7,0.0,74,77
2008,7,16,37.4,26.1,0.0,71,36
2008,7,17,38.4,28.4,0.0,70,41
2008,7,18,38.0,26.8,0.3,75,50
2008,7,19,39.2,26.2,32.6,80,52
2008,7,20,35.0,25.5,0.0,73,50
2008,7,21,36.9,22.5,135.0,80,63
2008,7,22,35.0,23.6,8.4,80,48
2008,7,23,35.1,25.6,0.0,71,66
2008,7,24,35.1,25.4,0.0,64,64
2008,7,25,35.4,26.3,0.0,66,56
2008,7,26,32.6,25.9,Trace,70,43
2008,7,27,35.5,26.3,0.0,70,53
2008,7,28,31.6,26.4,0.0,65,51
2008,7,29,34.4,25.6,Trace,66,49
2008,7,30,35.8,26.3,0.0,68,56
2008,7,31,34.0,26.6,0.0,64,47
2008,8,1,35.8,27.1,0.0,62,42
2008,8,2,36.8,26.8,0.0,70,57
2008,8,3,34.0,26.7,0.0,67,44
2008,8,4,35.6,26.8,0.0,68,49
2008,8,5,33.8,26.7,0.0,68,33
2008,8,6,37.1,26.3,0.0,65,37
2008,8,7,37.0,26.6,0.0,59,37
2008,8,8,36.8,27.2,0.0,65,47
2008,8,9,34.7,26.5,0.0,65,40
2008,8,10,34.2,27.0,0.0,67,47
2008,8,11,33.5,26.5,0.0,62,41
2008,8,12,35.7,26.1,0.0,61,46
2008,8,13,35.0,26.1,0.2,68,60
2008,8,14,36.5,26.2,Trace,72,46
2008,8,15,35.1,25.2,0.0,66,52
2008,8,16,34.3,25.7,Trace,66,65
2008,8,17,35.8,24.6,6.7,79,39
2008,8,18,35.7,23.7,21.0,89,63
2008,8,19,31.0,25.2,0.2,81,59
2008,8,20,32.5,24.6,0.0,80,40
2008,8,21,34.6,24.2,1.3,80,54
2008,8,22,34.7,23.6,3.8,81,47
2008,8,23,35.2,25.2,Trace,73,43
2008,8,24,35.2,24.8,0.0,73,45
2008,8,25,36.0,23.8,2.5,78,51
2008,8,26,35.0,26.3,5.2,81,46
2008,8,27,34.8,20.6,156.0,92,58
2008,8,28,34.6,23.6,1.7,78,59
2008,8,29,33.8,26.1,0.0,78,59
2008,8,30,33.2,26.0,Trace,77,71
2008,8,31,33.8,24.7,0.0,84,68
2008,9,1,31.7,25.0,0.0,75,57
2008,9,2,34.2,24.4,5.6,84,50
2008,9,3,34.0,26.2,0.0,74,48
2008,9,4,34.6,25.0,0.0,82,72
2008,9,5,34.1,25.1,0.0,75,41
2008,9,6,35.7,26.0,0.0,74,65
2008,9,7,35.0,24.2,10.8,90,62
2008,9,8,30.5,24.6,0.0,77,58
2008,9,9,32.0,23.4,8.3,74,58
2008,9,10,31.8,25.0,0.3,77,55
2008,9,11,32.8,23.7,0.0,64,45
2008,9,12,33.5,26.2,0.0,62,52
2008,9,13,33.8,24.0,0.0,73,51
2008,9,14,33.7,24.1,0.0,66,43
2008,9,15,35.6,25.2,0.0,73,36
2008,9,16,34.7,24.6,0.0,69,40
2008,9,17,34.7,26.2,0.0,62,41
2008,9,18,35.6,25.0,0.0,66,41
2008,9,19,36.0,23.1,0.0,6,43
2008,9,20,35.4,25.8,0.0,64,48
2008,9,21,35.6,26.3,0.0,68,57
2008,9,22,35.0,25.4,0.0,63,44
2008,9,23,35.7,24.8,Trace,64,40
2008,9,24,36.3,26.0,0.0,70,44
2008,9,25,35.6,25.9,0.0,74,53
2008,9,26,34.4,25.2,0.0,72,44
2008,9,27,35.4,25.0,0.0,71,36
2008,9,28,36.7,24.2,12.0,72,53
2008,9,29,35.0,24.3,0.0,70,40
2008,9,30,35.0,25.0,0.0,73,46
2008,10,1,35.9,25.4,0.0,72,51
2008,10,2,35.8,24.1,0.0,68,40
2008,10,3,36.8,25.6,0.0,68,53
2008,10,4,36.1,26.1,0.0,82,57
2008,10,5,33.5,24.7,0.0,81,44
2008,10,6,34.4,25.6,0.0,78,45
2008,10,7,35.1,26.0,0.0,78,49
2008,10,8,35.2,25.7,0.0,76,55
2008,10,9,35.7,25.7,0.0,74,46
2008,10,10,35.4,25.7,0.0,74,46
2008,10,11,35.0,25.5,0.0,79,60
2008,10,12,26.0,25.4,0.7,95,75
2008,10,13,31.1,24.4,3.9,98,69
2008,10,14,31.0,24.0,8.9,93,98
2008,10,15,30.0,24.2,16.7,85,82
2008,10,16,31.4,24.6,6.1,93,67
2008,10,17,31.6,24.7,0.4,92,87
2008,10,18,31.1,25.0,1.8,83,77
2008,10,19,31.6,24.7,2.8,87,66
2008,10,20,32.6,24.1,0.0,86,95
2008,10,21,32.0,23.0,52.7,98,83
2008,10,22,29.6,23.4,19.0,98,75
2008,10,23,29.0,23.4,43.5,95,78
2008,10,24,30.0,24.0,0.0,86,79
2008,10,25,30.6,24.0,0.0,83,56
2008,10,26,32.6,24.8,1.8,90,82
2008,10,27,30.4,24.8,0.0,83,59
2008,10,28,32.1,22.2,0.0,87,54
2008,10,29,32.2,21.4,0.0,76,44
2008,10,30,32.4,22.4,0.0,73,57
2008,10,31,32.7,21.7,0.0,82,51
2008,11,1,33.2,22.6,0.0,78,56
2008,11,2,32.6,21.1,0.0,80,45
2008,11,3,32.4,19.9,0.0,66,37
2008,11,4,32.8,20.8,0.0,73,42
2008,11,5,32.4,21.6,0.0,78,54
2008,11,6,32.0,22.0,0.0,79,50
2008,11,7,32.4,22.6,0.0,73,56
2008,11,8,32.8,23.8,0.0,76,57
2008,11,9,32.8,23.6,0.0,81,51
2008,11,10,33.2,24.2,0.0,79,62
2008,11,11,33.1,24.4,0.0,77,54
2008,11,12,32.8,24.7,0.0,78,63
2008,11,13,31.0,21.8,0.0,77,67
2008,11,14,32.8,22.4,0.0,82,63
2008,11,15,30.3,21.7,0.0,80,49
2008,11,16,34.6,24.0,0.0,67,44
2008,11,17,34.0,25.0,0.0,84,65
2008,11,18,32.8,24.1,0.0,83,60
2008,11,19,33.6,24.6,0.0,77,95
2008,11,20,27.0,23.2,14.2,90,90
2008,11,21,30.0,24.4,1.6,90,68
2008,11,22,31.4,23.8,Trace,92,87
2008,11,23,27.0,22.2,2.8,90,96
2008,11,24,27.7,22.0,44.2,95,95
2008,11,25,27.8,21.4,86.0,95,98
2008,11,26,25.4,21.4,46.6,100,100
2008,11,27,23.0,21.0,89.2,100,100
2008,11,28,23.0,22.2,154.8,100,90
2008,11,29,28.4,24.4,4.9,95,81
2008,11,30,31.0,23.5,1.4,93,73
2008,12,1,31.0,23.6,0.0,81,76
2008,12,2,29.8,23.0,0.3,92,77
2008,12,3,30.1,21.9,0.0,90,56
2008,12,4,29.6,19.8,0.0,88,52
2008,12,5,30.1,21.6,0.0,88,54
2008,12,6,30.6,22.8,0.0,82,71
2008,12,7,30.0,23.0,0.0,83,74
2008,12,8,28.0,22.8,0.0,85,91
2008,12,9,26.2,23.0,13.6,98,96
2008,12,10,26.0,22.6,2.3,95,85
2008,12,11,29.0,22.3,2.0,82,60
2008,12,12,29.8,21.5,0.0,86,50
2008,12,13,30.2,22.2,0.0,87,69
2008,12,14,30.2,22.1,1.0,85,88
2008,12,15,27.0,22.6,13.0,98,96
2008,12,16,24.8,21.6,9.0,95,73
2008,12,17,29.9,21.9,0.0,82,79
2008,12,18,28.8,22.2,0.0,85,84
2008,12,19,28.1,22.4,0.0,83,72
2008,12,20,30.2,20.9,0.0,86,79
2008,12,21,30.8,21.7,0.0,88,57
2008,12,22,31.0,20.6,0.0,78,54
2008,12,23,30.8,20.6,0.0,79,49
2008,12,24,30.7,21.1,0.0,82,68
2008,12,25,30.2,22.2,0.0,96,62
2008,12,26,30.7,20.8,0.0,90,40
2008,12,27,31.0,21.1,0.0,95,44
2008,12,28,30.7,19.5,0.0,95,44
2008,12,29,30.2,16.8,0.0,72,45
2008,12,30,30.2,19.2,0.0,78,45
2008,12,31,31.1,17.0,0.0,67,45
2009,1,1,29.2,19.0,0.0,83,43
2009,1,2,30.3,19.9,0.0,75,51
2009,1,3,30.5,20.0,0.0,83,52
2009,1,4,31.1,19.1,0.0,80,40
2009,1,5,30.4,19.5,0.0,83,48
2009,1,6,29.7,18.6,0.0,83,44
2009,1,7,31.2,21.4,0.3,91,88
2009,1,8,27.2,20.7,Trace,85,52
2009,1,9,30.5,21.5,0.0,85,57
2009,1,10,31.2,20.8,0.0,82,50
2009,1,11,30.7,20.4,0.0,83,48
2009,1,12,31.0,20.5,0.0,83,48
2009,1,13,31.6,19.4,0.0,75,52
2009,1,14,30.6,20.7,0.0,83,40
2009,1,15,31.2,22.0,Trace,83,70
2009,1,16,27.6,20.8,7.8,88,52
2009,1,17,30.6,19.9,0.0,88,53
2009,1,18,30.0,19.7,0.0,82,63
2009,1,19,29.0,20.1,0.0,67,40
2009,1,20,31.0,19.0,0.0,82,51
2009,1,21,30.2,18.2,0.0,79,49
2009,1,22,30.7,18.8,0.0,91,52
2009,1,23,30.6,19.6,0.0,83,47
2009,1,24,30.2,18.5,0.0,69,40
2009,1,25,30.1,18.8,0.0,76,47
2009,1,26,32.0,21.2,0.0,86,52
2009,1,27,30.6,23.1,1.6,95,88
2009,1,28,30.6,20.8,1.4,84,57
2009,1,29,31.9,24.0,0.0,84,44
2009,1,30,32.5,21.0,0.0,86,34
2009,1,31,33.1,21.4,0.0,83,44
2009,2,1,32.0,19.6,0.0,88,32
2009,2,2,31.6,19.0,0.0,91,50
2009,2,3,31.6,19.6,0.0,91,48
2009,2,4,32.4,20.6,0.0,90,40
2009,2,5,33.0,20.0,0.0,80,39
2009,2,6,32.6,19.0,0.0,77,32
2009,2,7,32.7,19.4,0.0,84,36
2009,2,8,32.0,20.0,0.0,75,31
2009,2,9,31.7,19.0,0.0,72,33
2009,2,10,32.0,18.7,0.0,79,42
2009,2,11,31.6,18.0,0.0,75,31
2009,2,12,32.8,19.6,0.0,81,44
2009,2,13,33.3,20.3,0.0,83,27
2009,2,14,34.1,19.9,0.0,83,40
2009,2,15,32.4,19.8,0.0,78,29
2009,2,16,33.0,18.1,0.0,74,34
2009,2,17,33.0,20.2,0.0,71,36
2009,2,18,33.2,20.4,0.0,78,30
2009,2,19,33.1,20.6,0.0,72,29
2009,2,20,33.3,22.0,0.0,71,40
2009,2,21,33.7,22.8,0.0,78,39
2009,2,22,33.8,24.0,0.0,78,34
2009,2,23,34.0,22.6,0.0,87,33
2009,2,24,34.8,22.8,0.0,82,31
2009,2,25,35.4,24.5,0.0,79,31
2009,2,26,36.4,23.6,0.0,84,22
2009,2,27,37.0,22.4,0.0,96,18
2009,2,28,36.1,20.5,0.0,88,17
2009,3,1,36.5,21.2,0.0,62,14
2009,3,2,37.9,22.1,0.0,73,31
2009,3,3,36.3,21.9,0.0,75,32
2009,3,4,36.3,22.2,0.0,76,24
2009,3,5,36.8,21.8,0.0,73,20
2009,3,6,37.2,22.8,0.0,78,20
2009,3,7,38.0,22.0,0.0,74,32
2009,3,8,36.0,21.2,0.0,93,36
2009,3,9,34.6,23.2,0.0,79,68
2009,3,10,30.6,18.2,3.5,79,81
2009,3,11,28.0,22.8,0.2,81,58
2009,3,12,32.6,23.9,1.8,89,45
2009,3,13,34.0,25.0,0.0,76,43
2009,3,14,35.6,25.0,0.0,80,44
2009,3,15,35.0,25.0,0.0,81,33
2009,3,16,34.8,25.0,0.0,73,35
2009,3,17,35.7,22.1,0.0,82,30
2009,3,18,35.2,22.5,0.0,75,35
2009,3,19,35.7,22.7,0.0,81,35
2009,3,20,36.0,23.7,0.0,76,30
2009,3,21,36.2,24.3,0.0,80,35
2009,3,22,36.7,25.7,0.0,80,50
2009,3,23,36.4,24.6,0.0,78,42
2009,3,24,35.2,24.7,0.0,79,26
2009,3,25,35.4,24.5,0.0,77,37
2009,3,26,35.6,24.6,0.0,77,40
2009,3,27,35.7,25.1,0.0,78,25
2009,3,28,36.4,25.4,0.0,71,26
2009,3,29,38.0,24.6,0.0,78,34
2009,3,30,36.8,24.5,0.0,76,25
2009,3,31,37.1,24.1,0.0,70,25
2009,4,1,37.7,25.6,0.0,69,35
2009,4,2,27.6,23.6,0.0,80,35
2009,4,3,37.4,23.5,0.0,71,34
2009,4,4,36.8,24.0,0.0,74,38
2009,4,5,37.7,24.8,0.0,78,45
2009,4,6,37.0,26.0,0.0,77,38
2009,4,7,37.3,25.7,0.0,80,39
2009,4,8,37.2,25.6,0.0,81,29
2009,4,9,36.4,25.9,0.0,74,62
2009,4,10,36.7,25.4,0.0,70,76
2009,4,11,30.7,24.0,15.7,97,78
2009,4,12,33.4,22.6,7.4,93,63
2009,4,13,30.8,25.7,0.0,74,27
2009,4,14,36.2,26.2,0.0,67,33
2009,4,15,38.7,27.1,0.0,68,35
